EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-8.582,5.588,19.037,6.079,-1.183,28.469,14.116,-8.669,-0.008,0.979,-0.054,-1.068,-1.587,0.946,100.000,103112.000,1.000
-25.645,-12.945,0.773,-11.168,-12.904,12.217,1.471,-24.274,-0.009,0.977,-0.053,-1.099,-1.587,0.885,100.000,103113.000,1.000
-30.082,-20.743,-2.155,-17.086,-22.168,3.090,-5.404,-32.822,-0.010,0.975,-0.052,-1.129,-1.648,0.732,100.000,103114.000,1.000
-18.405,-11.623,15.736,-7.945,-22.317,8.363,-0.046,-30.082,-0.012,0.973,-0.052,-1.099,-1.587,0.610,100.000,103115.000,1.000
-7.903,-1.300,32.413,1.573,-19.054,15.580,7.976,-23.779,-0.011,0.974,-0.052,-1.007,-1.678,0.549,100.000,103116.000,1.000
-12.390,-6.112,30.201,-0.769,-21.241,10.854,6.394,-23.805,-0.011,0.971,-0.053,-0.977,-1.617,0.641,100.000,103117.000,1.000
-29.748,-24.840,10.297,-14.466,-29.144,-5.481,-5.612,-31.249,-0.010,0.966,-0.051,-0.854,-1.617,0.580,100.000,103118.000,1.000
-40.302,-34.295,-1.918,-22.408,-30.948,-13.625,-11.932,-33.877,-0.011,0.964,-0.049,-0.702,-1.556,0.641,100.000,103119.000,1.000
-34.450,-23.129,6.526,-15.916,-22.515,-4.476,-4.837,-26.247,-0.010,0.961,-0.050,-0.427,-1.526,0.610,100.000,103120.000,1.000
-22.303,-5.499,22.244,-3.561,-11.800,9.723,6.221,-15.854,-0.010,0.958,-0.050,-0.183,-1.648,0.549,100.000,103121.000,1.000
-14.712,3.604,28.928,4.822,-5.424,16.200,11.649,-8.674,-0.009,0.958,-0.055,0.122,-1.495,0.580,100.000,103122.000,1.000
-16.782,0.952,19.942,3.485,-6.208,10.775,8.664,-7.264,-0.010,0.958,-0.054,0.397,-1.465,0.641,100.000,103123.000,1.000
-18.425,0.109,14.448,2.394,-6.927,6.881,7.457,-5.922,-0.010,0.958,-0.055,0.824,-1.495,0.732,100.000,103124.000,1.000
-12.245,8.333,25.063,9.661,-2.539,13.797,14.086,-0.818,-0.009,0.961,-0.056,1.190,-1.556,0.854,100.000,103125.000,1.000
-7.095,14.303,36.250,16.537,0.012,20.659,19.316,1.076,-0.010,0.960,-0.057,1.495,-1.526,0.946,100.000,103126.000,1.000
-9.504,9.709,32.644,14.605,-4.010,16.770,14.742,-4.347,-0.010,0.960,-0.059,1.831,-1.312,1.007,100.000,103127.000,1.000
-16.115,-0.635,16.714,6.168,-10.479,5.324,3.565,-11.317,-0.011,0.960,-0.057,2.075,-1.343,1.038,100.000,103128.000,1.000
-16.537,-2.228,9.598,4.037,-11.000,2.135,-0.454,-9.609,-0.011,0.961,-0.061,2.411,-1.251,1.068,100.000,103129.000,1.000
-11.615,6.138,16.293,9.875,-7.148,10.281,5.359,-1.744,-0.013,0.962,-0.062,2.533,-1.221,1.099,100.000,103130.000,1.000
-9.129,12.407,23.629,14.793,-5.404,18.928,11.418,2.079,-0.012,0.965,-0.060,2.777,-1.251,1.160,100.000,103131.000,1.000
-8.209,11.516,25.663,16.351,-5.137,22.462,12.781,1.391,-0.010,0.967,-0.057,2.838,-1.251,1.129,100.000,103132.000,1.000
-10.220,3.606,19.089,13.148,-6.491,18.031,8.101,-1.291,-0.008,0.967,-0.063,3.082,-1.190,1.282,100.000,103133.000,1.000
-14.496,-3.101,9.884,8.695,-8.820,11.214,2.630,-3.140,-0.008,0.966,-0.060,3.052,-1.160,1.404,100.000,103134.000,1.000
