EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
8.157,7.379,8.277,2.436,8.339,10.284,5.980,6.215,0.038,0.991,0.059,-0.793,-0.397,-0.458,100.000,148105.000,1.000
9.803,9.001,9.638,1.622,8.572,10.913,4.568,4.802,0.039,0.992,0.057,-0.824,-0.427,-0.336,100.000,148106.000,1.000
10.530,9.522,10.149,0.770,8.288,10.941,2.736,3.129,0.038,0.990,0.056,-0.763,-0.336,-0.305,100.000,148107.000,1.000
9.602,8.391,9.186,-0.404,6.937,9.744,0.228,1.107,0.037,0.990,0.058,-0.702,-0.275,-0.397,100.000,148108.000,1.000
6.712,5.212,6.123,-2.402,3.975,6.720,-3.344,-1.561,0.036,0.990,0.058,-0.763,-0.275,-0.275,100.000,148109.000,1.000
2.527,0.578,1.423,-5.340,-0.107,2.145,-7.746,-4.674,0.037,0.990,0.060,-0.824,-0.275,-0.366,100.000,148110.000,1.000
-1.825,-4.282,-3.758,-8.912,-4.358,-2.888,-12.251,-7.742,0.038,0.992,0.058,-0.732,-0.275,-0.366,100.000,148111.000,1.000
-5.161,-7.915,-7.944,-12.419,-7.628,-7.054,-15.861,-10.163,0.037,0.993,0.057,-0.793,-0.183,-0.488,100.000,148112.000,1.000
-6.694,-9.235,-9.923,-14.925,-9.018,-9.437,-17.716,-11.442,0.037,0.993,0.061,-0.916,-0.122,-0.458,100.000,148113.000,1.000
-6.318,-8.028,-9.367,-15.638,-8.469,-9.802,-17.574,-11.467,0.037,0.993,0.059,-0.916,-0.122,-0.458,100.000,148114.000,1.000
-4.394,-4.858,-6.499,-14.320,-6.342,-8.546,-15.907,-10.524,0.039,0.992,0.054,-0.977,-0.214,-0.427,100.000,148115.000,1.000
-1.699,-1.073,-2.267,-11.488,-3.533,-6.499,-13.626,-9.185,0.038,0.993,0.056,-0.977,-0.031,-0.519,100.000,148116.000,1.000
1.035,2.026,2.209,-7.984,-0.705,-4.311,-11.241,-7.654,0.038,0.996,0.055,-0.977,-0.031,-0.610,100.000,148117.000,1.000
3.119,3.575,5.755,-4.748,1.716,-2.352,-8.866,-5.800,0.036,0.995,0.058,-1.007,-0.031,-0.610,100.000,148118.000,1.000
